graze animal ,家畜
goat ,ヤギ
terrace ,段々畑にする
vineyard ,ブドウ園
sapling ,苗木
graze ,(家畜が) 育てられる
rear ,栽培・飼育する
arable ,耕作に適した
waterlogged ,水浸しになった
well,井戸
diversity,多様性
salinization,塩類集積
reservoir,貯水池
ranch,牧場
fell,伐採する
log,伐採する
saturate,水浸しにする
devastate,荒れる
aqueduct,送水路
firewood,薪
herbicide,除草剤
pesticide,殺虫剤
crop rotation,輪作
subsidy,補助金
breadbasket,穀倉地帯
subsistence farming,自給的農業
sugar cane,サトウキビ
primary product,一次産品
forestry,林業
GM crop,遺伝子組み換え作物
productivity,生産性
cash crop,商品作物
contour ploughing,等高線耕作
afforestation,植林
intensive farming,集約的農業
extensive farming,粗放的農業
pastoral farming,牧畜
dairy farming,酪農
fallow,休閑地
charcoal,木炭
perishable,生鮮食品
replant failure,連作障害
slash-and-barn farming,焼き畑
geoponic,土壌栽培
hydroponic,水耕栽培
pest,害虫
ditch,溝
pasture land,牧草地
granary,穀倉地帯
high-yield variety,高収量品種
gutter,側溝
poultry,家禽
plough,耕す
grain,穀物
labour intensive,労働集約型
hacienda,アシエンダ
estate,エステート
raindrop,雨滴
ranching,牧場
nomadic population,遊牧民
aeroponic,空中栽培
tuber,芋
barley,大麦
capillarity,毛細管現象
pasture,牧場
vermin,害虫
agro-pastoral,田園風景の
rice paddy,水田
chop,切り倒す
extraction,採取
olive,オリーブ
drip irrigation,点滴灌漑
compost,堆肥
rotating crop,輪作
hay,干草
orchard,果樹園
raw material,一次産品
fuelwood,薪炭材
artificial fertiliser,人工肥料
agribusiness,アグリビジネス
cereal,穀物
spray,吹きかける
drip system,点滴農法
interbreed,交配させる
pollination,授粉
the Green Revolution,緑の革命
manure,肥し
mixed cropping,混合農業
agroforestry,アグロフォレストリー
staple crop,主要商品作物
nitrogen-fixing plant,窒素固定植物
cistern,貯水槽・貯水池
hydro-electric power,水力発電
