geothermal energy,地熱エネルギー
lead,鉛
copper,銅
oilrig,油田掘削装置
oilfield,油田
textile industry,繊維産業
mechanize,機械化する
coalfield,炭田
thermal power stations,火力発電所
synthetic rubber,合成ゴム
fracking,水圧破砕法
de-industrialisation,非工業化 (空洞化による)
footloose industry,普遍原料を利用した立地条件に制約のない工業
synthetic resin,合成樹脂
natural resin,天然樹脂
bauxite,ボーキサイト
export-oriented industrialization,輸出志向型工業政策
solar farm,太陽光発電所
anvil,鉄床雲
hydropower plant,水力発電所
refining,精製
smelt,製錬する
borehole,掘削孔
pulp,パルプ
hydrogen-fuelled car,燃料電池車
nickel,ニッケル
hollow,抉る
quarry,採石する
dock,ドック
warehouse,倉庫
ferry,フェリー
container,コンテナ
intermediate technology,中間技術
kerosene,灯油
headquarter,本部
heavy industry,重工業
steel production,製鉄
coal mining,石炭産出
R&D(research and development),研究と開発
powerhouse,発電所
appliance,家電
non-renewable energy,再生不可能エネルギー
biofuel,バイオ燃料
