sedimentary rock,堆積岩
glacier,氷河
shield volcano,楯状火山
dome volcano,ドーム状火山
ash,火山灰
sulphur dioxide,二酸化硫黄
pyroclastic flow,火砕流
suffocate,窒息死させる
mudflow,泥流
lahar,泥流
magma basin,マグマだまり
caldera,カルデラ
igneous rock,火成岩
metamorphic rock,変成岩
intrusive rock,深成岩
extrusive rock,火山岩
coarse texture,斑状組織
dyke,岩脈
sill,岩床
rhyolite,流紋岩
andesite,安山岩
basalt,玄武岩
granite,花崗岩
diorite,閃緑岩
gabbro,斑糲岩
carboniferous,石炭紀
chalk,チョーク (鉱物)
deposit,堆積する
erode,浸食する
compact,凝縮する (続成作用)
marble,大理石
shale,頁岩
weather,風化
erosion,浸食
sea bed,海底
lithification,石化作用
quaternary,第四紀
tertiary,第三紀
rock cycle,岩石のサイクル
mechanical weathering,物理的風化
chemical weathering,化学的風化
biological weathering,生物的風化
exfoliation,剥離作用
peel off,はがれる
dissolve,溶ける
soluble,可溶性の
calcium carbonate,炭酸カルシウム
tor,岩山
moorland,荒地
acidic,酸性の
tilt,傾く
escarpment,崖・急斜面
aquifer,帯水層
permeable,浸透性の
store,蓄える
impermeable,不浸透性の
spring line,湧水帯
dry valley,かれ谷
eat away,浸食する
pavement,舗装
swallow hole,ドリーネ
cavern,洞窟
gorge,峡谷
solidify,凝結する
stalactite,鍾乳石
stalagmite,石筍
salinity,塩分
circulation,循環
groundwater,地下水
hydrological cycle,水循環
evapotranspiration,蒸発散
infiltration,染み込み
percolation,浸透
through flow,側方浸透流 (地下水面より上を流れる地下水)
drainage basin,流域
watershed,分水嶺
tributary,支流
source,水源
confluence,合流
mouth,河口
course,流路
upper course,上流
middle course,中流
lower course,下流
gradient,傾斜
profile,断面図
transportation,運搬作用
hydraulic,水圧
fragment,破片
round off,丸くする
waterfall,滝
plunge pool,滝つぼ
spur,尾根
interlock,組み合わさる
meander,蛇行
ox-bow lake,三日月湖
flood plain,氾濫原
levee,(自然) 堤防
distributary,支流・分流
arcuate delta,円弧状三角州
cuspate delta,カスプ状三角州
bird’s foot delta,鳥趾状三角州
contour line,等高線
discharge,流出
bank,土手
retreat,後退
ice sheet,大陸氷河
arête,氷河の浸食による痩せ尾根
pyramidal peak,ホルン
corrie,カール
tarn,山中の小さな湖，特にカールにできた湖
truncated spur,Ｕ字谷，断層，海岸線によって切られた山の支脈
hanging valley,懸谷
ribbon lake,Ｕ字谷の湖
glacial trough,Ｕ字谷
moraine,モレーン
drumlin,ドラムリン
destructive wave,浸食する波
backwash,引き波
swash,打ち上げ波
headland,岬
jut,突き出る
cove,入り江
longshore drift,沿岸流
constructive wave,堆積させる波
sand beach,砂浜
shingle beach,礫浜
spit,砂嘴
bar,砂州
lagoon,ラグーン
tombolo,トンボロ
wave-cut platform,海食台
submerge,浸水させる
breakwater,防波堤
dune,砂丘
marshland,湿地帯
groyne,突堤
heathland,ヒースランド
iceberg,氷山
downhill,下り坂の
alluvium,沖積層
dredge,浚渫する
flash flood,鉄砲水
graded bedding,級化層理
tidal barrier,河口堰
scree,ガレ場
porous,多孔質の
crater,クレーター・噴火口
fold mountains,褶曲山地
fault,断層
geyser,間欠泉
Mediterranean,地中海の
barrage,堰
effluent,排水
tuff,凝灰岩
gyre,環流
basaltic magma,玄武岩質マグマ
granitic magma,花崗岩質マグマ
relief,起伏
permafrost,永久凍土
thermoharine,熱塩循環
stratovolcano,成層火山
pitch,勾配
ravine,峡谷
riverbank,川岸
anticline,背斜
syncline,向斜
cirque,カール
viscous,粘性の
fluid,流動性の
acid lava,酸性岩の溶岩 (花崗岩質など)
basic lava,塩基性岩の溶岩 (玄武岩質など)
tonalite,石英閃緑岩
fjord,フィヨルド
waterspout,水上竜巻
phreatic eruption,水蒸気爆発
earth flow,山崩れ
rotational slide,回転滑り
solifluction,土壌流
plateau,高原
felsic,珪長質の
discordant coastline,ギザギザの海岸線
concordant coastline,滑らかな海岸線
angular,角ばった
rounded,丸みを帯びた
slip-off slope,蛇行の内側にある浅い川底
rip-rap,消波ブロック
revetment,擁壁
steep scarp slope,急な傾斜
gentle dip slope,なだらかな傾斜
stalactite cave,鍾乳洞
bedding plane,層理面
eject,押し出す
composite volcano,複式火山
transform fault,トランスフォーム断層
Sahel,サヘル
inland sea,内海
magma chamber,マグマだまり
curvature,湾曲
ash deposit,噴石
quartz,石英
latosol,ラトソル
terra rossa,テラロッサ
terra roxa,テラローシャ
regur,レグール
chernozem,チェルノーゼム
prairie,プレーリー
pampa,パンパ
llano,リャノ
oxisols,熱帯酸性化土壌
entisols,砂漠土
ultisols,赤土
tectonic uplift,地殻隆起
coastal abrasion,海岸浸食
elevation,高度
soil subsidence,地盤沈下
drift,漂流する
sediment,沈殿物
tectonic,地殻変動の
littoral,海岸の
littoral drift,沿岸漂流・漂砂
saline,塩分を含んだ
calcium,カルシウム
basin,盆地・流域
perched water,宙水
clay,粘土質の
esker,氷河の下の融解水により堆積された堤防状の地形
loam,ローム
viscosity,粘性
outwash plain,氷河堆積物の堆積平野
fracture,破面
layer,地層
intrusion,貫入岩
unconformity,不整合
andesitic magma,安山岩質マグマ
rhyolitic magma,流紋岩質マグマ
felsic magma,珪長岩質マグマ
conglomerate,礫岩の
frost wedging,凍結破砕
intrude,貫入する
mountain range,山地
hinterland,後背地
seascape,海の景観
parent rock,母岩
heave,持ち上げる
volcanic bomb,火山弾
cinder,噴石
central cone,中央火口丘
vent,噴火口
gritstone,砂岩
mass movement,マス・ムーブメント
turbidity current,乱泥流
subside,低下する
run-off,表面流
boulder,256mm~ の砂礫
cobble,64~256mm の砂礫
gravel,2~64mm の砂礫
pebble,4~64mm の砂礫
granule,2~4mm の砂礫
sand,0.063~2mm の砂礫
coarse sand,0.63mm~2mm の砂礫
medium sand,0.2mm~0.63mm の砂礫
fine sand,0.063~0.2mm の砂礫
silt,0.002mm~0.0063mm の砂礫
clay,~0.002mm の砂礫
peat bog,泥炭地
low-lying,低平な
offshore,沖合の
earth embankment,ダムの堰堤
upland area,高地
lowland area,低地
crack,ひび
abrasion,(流された粒子が河床の石に衝突することによる) 浸食
attrition,(水中の粒子が衝突しより細かくなる) 浸食
hydraulic action,(水圧によって石が削れる) 浸食
solution,(石灰岩などが水に溶けることによる) 浸食
compress,圧縮する
scrape,こする
joint,節理
wave-cut notch,波食窪
jut out,突き出た
arch,海食洞門
stack,海食によって切り離された塔状の岩
traction,(石が河床を転がることによる) 運搬
saltation,(石が弾むことによる) 運搬
suspension,(水流で巻き上げられることにより水中を漂う)運搬
solution,(微小な粒子が水に溶けることによる) 運搬
high water mark,満潮線
low water mark,干潮線
embryo dune,植生のない初期の砂丘
foredune,僅かに植生を持つ砂丘
yellow dune,腐食層を持つようになった砂丘
grey dune,腐食層の発達によって灰色になった砂丘
mature dune,樹木をも持つことができるようになった砂丘
bumpy,凹凸の
neck,環流丘陵
estuary,エスチュアリー
till,氷河堆積物
upstream,上流へ
blunt,鈍い
taper,漸減する
join,再結合する
abrupt,険しい
verge,縁
wadi,ワジ
tectonically active,地殻変動の盛んな
